detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch1_amplitude,ch1_relevant,ch2_amplitude,ch2_relevant,ch3_amplitude,ch3_relevant,ch4_amplitude,ch4_relevant,ch5_amplitude,ch5_relevant,ch6_amplitude,ch6_relevant,ch7_amplitude,ch7_relevant
148,2310505,1155.2525,stroke,6,28.5899746862758,False,8.734498516092755,False,6.395521977666582,False,24.85485833017727,True,3.604532776446087,True,1.224254588397284,True,2.812300156119475,False
149,2314807,1157.4035,stroke,6,33.85179989781743,False,11.959501255417106,False,6.87970784835642,False,19.22433908098614,True,3.8714017418330284,True,1.2813565346345215,True,2.039288515541396,False
150,2332160,1166.08,stroke,6,22.081966738807395,False,24.618219247204667,False,19.20973261288537,False,21.335111074028916,True,4.0592200215100425,True,1.0319563776633602,True,1.779818700166139,False
151,2344600,1172.3,stroke,6,26.85044597046437,False,6.382380980961823,False,5.0872833535759305,False,12.681944624410017,True,3.315539122692266,True,1.169342240811115,True,2.312482228633627,False
152,2348183,1174.0915,stroke,6,45.177852859562115,False,102.21761321874065,False,17.501629013429028,False,17.502014457935225,True,2.354601281877696,True,1.148852597317849,True,3.0745670464342654,False
153,2355322,1177.661,stroke,6,15.652914642620335,False,11.569503566010281,False,3.385813978287649,False,5.982412182126893,True,2.42509307187266,True,0.7235037223753269,True,3.237869078837269,False
154,2361585,1180.7925,stroke,6,21.014886648089753,False,10.97011846046252,False,4.690358574118747,False,8.378478902038268,True,3.4186085990574,True,1.327524171207274,True,2.0581649478986006,False
155,2371455,1185.7275,stroke,6,163.7813043471942,False,4808.680944460182,False,601.4607079185589,False,66.55231250425804,True,47.86331513654799,True,1.1161562318784222,True,74.34917193502115,False
156,2377214,1188.607,stroke,6,18.14420278987704,False,7.09996830738641,False,6.169373671119995,False,8.672825707061524,True,1.6314333024157968,True,0.963306765767515,True,2.5316036304441387,False
157,2382202,1191.101,stroke,6,167.36159387223623,False,4499.44551798711,False,576.8216917544995,False,71.73236221265748,True,45.873104537719676,True,1.1286799868362458,True,73.34950927539523,False
158,2386834,1193.417,stroke,6,13.180619268697034,False,10.81550494782715,False,4.522884393883962,False,11.9824654985504,True,2.999288034827028,True,1.0578645659944628,True,2.095204499850309,False
159,2406536,1203.268,stroke,6,18.537430145832165,False,10.171700078890819,False,15.72941144828495,False,13.803324607934044,True,2.040743268257576,True,1.4637853233403506,True,4.117788704838823,False
160,2408954,1204.477,stroke,6,12.992677567465527,False,11.133273854540562,False,9.869566899355789,False,4.766493154804479,True,1.5865646485595613,True,1.1115585143375646,True,3.418206419100449,False
161,2414055,1207.0275,stroke,6,15.993403730693553,False,10.225072192264214,False,125.06083614328713,False,36.283566384030586,True,2.5257423693152945,True,1.2182629507284628,True,3.4511801636487602,False
162,2430553,1215.2765,stroke,6,7.885151325115975,False,9.12701338845839,False,277.64206552985604,False,7.404322635545908,True,2.2123095249275453,True,1.1543463519741102,True,3.090228666284078,False
163,2433050,1216.525,stroke,6,18.393118044567842,False,21.233153754875726,False,11.050420863738768,False,45.00244491640228,True,4.78962844056757,True,1.2766197294056156,True,5.808245164742036,False
164,2449737,1224.8685,stroke,6,15.030968410573637,False,9.481073066517446,False,17.94697690354804,False,7.07813070871269,True,2.316917959630775,True,1.1441426708448676,True,2.296256989580656,False
165,2452507,1226.2535,stroke,6,15.381849991842131,False,10.488666563475057,False,39.3177373541132,False,5.549457588308615,True,1.3974172406210579,True,1.0021088058432632,True,2.0999321415016974,False
166,2455702,1227.851,stroke,6,19.14005465622358,False,6.29182906030023,False,288.61163951594153,False,11.871204988990527,True,1.5467044516735036,True,1.1787820003536074,True,1.0890316382054364,False
167,2464321,1232.1605,stroke,6,23.088124362908594,False,9.525937816797043,False,5.165045525663016,False,14.504175102650018,True,1.7758480017579779,True,0.8919501971835746,True,2.859949544984204,False
168,2472313,1236.1565,stroke,6,23.522878749521045,False,5.633328541837688,False,9.615134936523555,False,11.371127984611608,True,3.5928123217182533,True,0.9015632639908441,True,3.3619677883159103,False
