detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch2_amplitude,ch2_relevant,ch4_amplitude,ch4_relevant,ch7_amplitude,ch7_relevant,ch8_amplitude,ch8_relevant,ch9_amplitude,ch9_relevant,ch11_amplitude,ch11_relevant
118,789803,394.9015,healthy,2,18.601362438219667,True,22.094185260934054,True,19.49510899363862,True,47.36585464751311,False,31.72462399494694,False,61.46061127009769,False
119,792262,396.131,healthy,2,19.31963139794051,True,20.6869278786094,True,8.577138350111223,True,50.83499167301964,False,30.96305142908946,False,74.5814951245816,False
120,797078,398.539,healthy,2,18.66281704248339,True,18.932461085531944,True,89.55085402725143,True,52.55563532681272,False,30.44909513722845,False,64.8497320875488,False
121,802389,401.1945,healthy,2,15.749258758386425,True,25.734588333272225,True,39.489730028707555,True,63.868107622935554,False,38.04795828542946,False,67.78807736994476,False
122,824227,412.1135,healthy,2,2.779572669526135,True,2.7427507676033955,True,4.913814612869848,True,2.41203414388638,False,5.85124208025986,False,6.363959068773909,False
123,828303,414.1515,healthy,2,8.813543913223508,True,3.1335613792629653,True,3.4337414147110215,True,4.932011274866427,False,6.678983641064595,False,6.929631129289811,False
124,830888,415.444,healthy,2,5.082159566317164,True,3.6228232158425477,True,2.650159010607374,True,3.0469608901501584,False,6.390314867294348,False,10.816687027504576,False
125,850432,425.216,healthy,2,16.75357841830207,True,21.90230903161857,True,86.82983842437162,True,58.020870355466556,False,27.933895888031074,False,64.26747006865243,False
126,855221,427.6105,healthy,2,18.51662604753423,True,23.544479231955723,True,137.4097033737396,True,57.69179532892739,False,25.76558611205087,False,65.27921045392404,False
127,858251,429.1255,healthy,2,17.08379856361442,True,25.62299445044536,True,75.18376785976074,True,62.93026051218361,False,27.72513773921689,False,63.60976831402698,False
128,861785,430.8925,healthy,2,4.170273639577101,True,4.317177122475807,True,6.848547253533683,True,3.263842065136067,False,3.0618760460510384,False,6.891562332173766,False
129,872854,436.427,healthy,2,2.9452547851763518,True,2.9551795224043618,True,4.223344877167959,True,6.622753275684005,False,10.900694920239722,False,7.795273185584162,False
