timestamp_s,TMS Pulse,Date,Time,M1 Location,,,
379.5000004,124,11/5/2024,12:05:25.4 PM,Lp3,,,
381.3000001,125,11/5/2024,12:05:27.2 PM,Lp3,,,
382.4999998,126,11/5/2024,12:05:28.4 PM,Lp3,,,
384.4000002,127,11/5/2024,12:05:30.3 PM,Lp3,,,
389.0999999,128,11/5/2024,12:05:35.0 PM,Lp3,,,
391.9999999,129,11/5/2024,12:05:37.9 PM,Lp3,,,
394.9999999,130,11/5/2024,12:05:40.9 PM,Lp3,,,
398.4000003,131,11/5/2024,12:05:44.3 PM,Lp3,,,
401.2000002,132,11/5/2024,12:05:47.1 PM,Lp3,,,
403.6000004,133,11/5/2024,12:05:49.5 PM,Lp3,,,
406.2000002,134,11/5/2024,12:05:52.1 PM,Lp3,,,
408.3000001,135,11/5/2024,12:05:54.2 PM,Lp3,,,
410.9000004,136,11/5/2024,12:05:56.8 PM,Lp3,,,
412.0000001,137,11/5/2024,12:05:57.9 PM,Lp3,,,
413.3,138,11/5/2024,12:05:59.2 PM,Lp3,,,
415.8000003,139,11/5/2024,12:06:01.7 PM,Lp3,,,
418.6000002,140,11/5/2024,12:06:04.5 PM,Lp3,,,
449.7,141,11/5/2024,12:06:35.6 PM,Lp3,,,
452.4000004,142,11/5/2024,12:06:38.3 PM,Lp3,,,
464.1999999,143,11/5/2024,12:06:50.1 PM,Lp3,,,
466.7000002,144,11/5/2024,12:06:52.6 PM,Lp3,,,
468.7,145,11/5/2024,12:06:54.6 PM,Lp3,,,
469.6000001,146,11/5/2024,12:06:55.5 PM,Lp3,,,
554.3000003,147,11/5/2024,12:08:20.2 PM,Lp3,,,
555.9999998,148,11/5/2024,12:08:21.9 PM,Lp3,,,
559.6999999,149,11/5/2024,12:08:25.6 PM,Lp3,,,
562,150,11/5/2024,12:08:27.9 PM,Lp3,,,
564.0999999,151,11/5/2024,12:08:30.0 PM,Lp3,,,
567.3000002,152,11/5/2024,12:08:33.2 PM,Lp3,,,
570.3000002,153,11/5/2024,12:08:36.2 PM,Lp3,,,
571.7000002,154,11/5/2024,12:08:37.6 PM,Lp3,,,
572.7000004,155,11/5/2024,12:08:38.6 PM,Lp3,,,
582.9999999,156,11/5/2024,12:08:48.9 PM,Lp3,,,
586.1,157,11/5/2024,12:08:52.0 PM,Lp3,,,
589.1000001,158,11/5/2024,12:08:55.0 PM,Lp3,,,
592.1000002,159,11/5/2024,12:08:58.0 PM,Lp3,,,
600.6,160,11/5/2024,12:09:06.5 PM,Lp3,,,
611.1000002,161,11/5/2024,12:09:17.0 PM,Lp3,,,
613.5000004,162,11/5/2024,12:09:19.4 PM,Lp3,,,
617.9000004,163,11/5/2024,12:09:23.8 PM,Lp3,,,
619.4999999,164,11/5/2024,12:09:25.4 PM,Lp3,,,
622.0000002,165,11/5/2024,12:09:27.9 PM,Lp3,,,
623.7999998,166,11/5/2024,12:09:29.7 PM,Lp3,,,
625.6000001,167,11/5/2024,12:09:31.5 PM,Lp3,,,
627.9000002,168,11/5/2024,12:09:33.8 PM,Lp3,,,
630.5,169,11/5/2024,12:09:36.4 PM,Lp3,,,
631.4000001,170,11/5/2024,12:09:37.3 PM,Lp3,,,
650.2,171,11/5/2024,12:09:56.1 PM,Lp3,,,
650.2,172,11/5/2024,12:09:56.1 PM,Lp3,,,
655.1999999,173,11/5/2024,12:10:01.1 PM,Lp3,,,
670.9000002,174,11/5/2024,12:10:16.8 PM,Lp3,,,
673.2000003,175,11/5/2024,12:10:19.1 PM,Lp3,,,
676.0000002,176,11/5/2024,12:10:21.9 PM,Lp3,,,
680.8,177,11/5/2024,12:10:26.7 PM,Lp3,,,
682.6000003,178,11/5/2024,12:10:28.5 PM,Lp3,,,
683.7,179,11/5/2024,12:10:29.6 PM,Lp3,,,
685.0999999,180,11/5/2024,12:10:31.0 PM,Lp3,,,
687.0000003,181,11/5/2024,12:10:32.9 PM,Lp3,,,
690.5000002,182,11/5/2024,12:10:36.4 PM,Lp3,,,
760.3,183,11/5/2024,12:11:46.2 PM,Ra1,,,
762.9000004,184,11/5/2024,12:11:48.8 PM,Ra1,,,
765.4,185,11/5/2024,12:11:51.3 PM,Ra1,,,
768.0000004,186,11/5/2024,12:11:53.9 PM,Ra1,,,
769.5999999,187,11/5/2024,12:11:55.5 PM,Ra1,,,
771.6000003,188,11/5/2024,12:11:57.5 PM,Ra1,,,
773.2999999,189,11/5/2024,12:11:59.2 PM,Ra1,,,
775.1000002,190,11/5/2024,12:12:01.0 PM,Ra1,,,
776.6000002,191,11/5/2024,12:12:02.5 PM,Ra1,,,
778.7000002,192,11/5/2024,12:12:04.6 PM,Ra1,,,
780.4999998,193,11/5/2024,12:12:06.4 PM,Ra1,,,
783.0000001,194,11/5/2024,12:12:08.9 PM,Ra1,,,
785.5000004,195,11/5/2024,12:12:11.4 PM,Ra1,,,
829.6000001,196,11/5/2024,12:12:55.5 PM,Ra1,,,
831.3000003,197,11/5/2024,12:12:57.2 PM,Ra1,,,
833.2,198,11/5/2024,12:12:59.1 PM,Ra1,,,
836.5000003,199,11/5/2024,12:13:02.4 PM,Ra1,,,
838.8999999,200,11/5/2024,12:13:04.8 PM,Ra1,,,
840.8000003,201,11/5/2024,12:13:06.7 PM,Ra1,,,
845.1000002,202,11/5/2024,12:13:11.0 PM,Ra1,,,
863.2000001,203,11/5/2024,12:13:29.1 PM,Ra1,,,
865.3,204,11/5/2024,12:13:31.2 PM,Ra1,,,
867.2000004,205,11/5/2024,12:13:33.1 PM,Ra1,,,
892.2,206,11/5/2024,12:13:58.1 PM,Ra1,,,
895.4000002,207,11/5/2024,12:14:01.3 PM,Ra1,,,
901.4000004,208,11/5/2024,12:14:07.3 PM,Ra1,,,
902.9999999,209,11/5/2024,12:14:08.9 PM,Ra1,,,
904.8000002,210,11/5/2024,12:14:10.7 PM,Ra1,,,
907.2000003,211,11/5/2024,12:14:13.1 PM,Ra1,,,
909.1000001,212,11/5/2024,12:14:15.0 PM,Ra1,,,
912.8000001,213,11/5/2024,12:14:18.7 PM,Ra1,,,
914.8,214,11/5/2024,12:14:20.7 PM,Ra1,,,
916.5000002,215,11/5/2024,12:14:22.4 PM,Ra1,,,
918.2000004,216,11/5/2024,12:14:24.1 PM,Ra1,,,
919.7999999,217,11/5/2024,12:14:25.7 PM,Ra1,,,
922.6999999,218,11/5/2024,12:14:28.6 PM,Ra1,,,
926.8000003,219,11/5/2024,12:14:32.7 PM,Ra1,,,
929.1999998,220,11/5/2024,12:14:35.1 PM,Ra1,,,
978.6000003,221,11/5/2024,12:15:24.5 PM,Ra1,,,
983.3,222,11/5/2024,12:15:29.2 PM,Ra1,,,
990.4999999,223,11/5/2024,12:15:36.4 PM,Ra1,,,
992.1,224,11/5/2024,12:15:38.0 PM,Ra1,,,
