detection_idx,pulse_index,pulse_time_s,hemisphere,detection_channel,ch1_amplitude,ch1_relevant,ch2_amplitude,ch2_relevant,ch3_amplitude,ch3_relevant,ch4_amplitude,ch4_relevant,ch5_amplitude,ch5_relevant,ch6_amplitude,ch6_relevant,ch7_amplitude,ch7_relevant
52,767164,383.582,healthy,1,4.91559064328839,True,16.9386996631251,True,2.3395347438433154,True,1.4134254838360016,False,3.4451807862196167,False,1.455472533415758,False,2.3161081695840253,False
53,775432,387.716,healthy,1,5.929124830464183,True,26.02335262091924,True,2.155815765008161,True,6.092385254419267,False,6279.293418955596,False,1.0910944199768438,False,2.9868863202404077,False
54,779025,389.5125,healthy,1,6.285347787769258,True,20.522125689215223,True,1.7045901306301743,True,2.090159693375034,False,4.5206378603393595,False,0.7670196585566811,False,1.472972464283292,False
55,787136,393.568,healthy,1,6.409873799570152,True,33.18606075083661,True,1.8770884161324335,True,5.954396649058847,False,48.55645644242175,False,1.1622988616983487,False,1.8432139360706767,False
56,794114,397.057,healthy,1,7.645177388429903,True,12.258429765606287,True,3.412323751697459,True,1.6042510095702252,False,5160.984261058253,False,0.9010352328915443,False,2.1545888388510326,False
57,797475,398.7375,healthy,1,31.091825303927074,True,29.20066090980842,True,33.408215271614345,True,40.20523959407281,False,44918.824733487214,False,1.0351862460515657,False,12.2071258608802,False
58,802127,401.0635,healthy,1,34.953848458953516,True,32.139434732727885,True,29.87285405343973,True,39.54105537781324,False,20512.264752436924,False,1.2098325844454267,False,12.71859116261923,False
59,805966,402.983,healthy,1,36.631313134770885,True,28.048162828049634,True,24.524318621173794,True,36.323206483208295,False,61750.190528689185,False,1.4111565454306945,False,14.405600959072405,False
60,809587,404.7935,healthy,1,37.09777753899907,True,29.935233781863438,True,16.24780160589153,True,35.62047833895691,False,94845.49315359347,False,1.0096545265682924,False,13.173033733177695,False
61,813479,406.7395,healthy,1,36.41061181116537,True,25.94701919849617,True,17.720295521823854,True,36.67935146905948,False,95886.51346291654,False,1.248445519189008,False,15.236146659336022,False
62,816968,408.484,healthy,1,35.28254626735105,True,55.5190444024136,True,58.04369380563499,True,394.39674279203837,False,109460.59413254265,False,1.1979738585931556,False,12.048989080015865,False
63,825002,412.501,healthy,1,37.783332697926895,True,32.42867029052575,True,53.073237593448944,True,38.66974063960795,False,110159.1952259088,False,1.2036593254347183,False,14.950454342037833,False
64,832250,416.125,healthy,1,37.69924920332559,True,31.89096684169892,True,37.09078341902526,True,36.082978441000186,False,108105.8650072263,False,0.8723910225589877,False,16.162678238748782,False
65,835950,417.975,healthy,1,38.27321306702447,True,36.211983145974486,True,21.620558683575254,True,39.14589604726102,False,116105.74211446181,False,1.151070254655403,False,11.413548344787918,False
66,849264,424.632,healthy,1,37.496170593093375,True,24.95660995798604,True,20.296304423703194,True,37.08483925967525,False,76119.2433250129,False,0.7795003591721956,False,15.340704402277998,False
67,853398,426.699,healthy,1,96.62412451209036,True,72.02335015794341,True,68.33539134326499,True,88.73364296237806,False,106879.68760264046,False,0.8306488866347885,False,38.33998801645831,False
68,859791,429.8955,healthy,1,37.62579569118077,True,25.887228113847993,True,34.03935916048603,True,32.70461723110455,False,30942.897044626632,False,0.9454126303802857,False,15.910547321606913,False
69,862856,431.428,healthy,1,6.1550332432504895,True,29.944713408714073,True,4.510240150545277,True,9.026004297371582,False,3.7803803346119276,False,1.329475003652849,False,2.95659120002986,False
70,866818,433.409,healthy,1,3.713801723096748,True,4.9177808720283975,True,2.380039160741628,True,4.996957328928817,False,135045.94721334023,False,1.4533968275192604,False,1.631821514456353,False
71,876277,438.1385,healthy,1,92.38659337388806,True,54.57861362653415,True,123.887378847251,True,76.26590453070973,False,123447.1094076095,False,1.4392633043817045,False,31.863874153393322,False
72,880930,440.465,healthy,1,3.9635407378567846,True,13.509482101586647,True,2.8292001311471644,True,6.22652831454119,False,0.346453562187096,False,1.0412764131526115,False,2.307482397725225,False
