detection_idx,pulse_index,pulse_time_s,phase,detection_channel,ch130_amplitude,ch130_relevant,ch132_amplitude,ch132_relevant,ch135_amplitude,ch135_relevant,ch136_amplitude,ch136_relevant,ch137_amplitude,ch137_relevant,ch139_amplitude,ch139_relevant
87,1271821,635.9105,healthy,132,4.018099448801701e-05,True,297.3462728502782,True,287.52982409885607,True,9.428626307207855,False,298.47537538181075,False,2.62372846948047,False
88,1274955,637.4775,healthy,132,3.6215566347962754e-05,True,295.8284877351987,True,293.81023425472983,True,8.652565930833125,False,283.62445641571617,False,4.743492215029531,False
89,1280140,640.07,healthy,132,4.0180994488321566e-05,True,306.51737920747996,True,277.5351727757992,True,11.388376582016107,False,282.5891993060005,False,3.8838225947767673,False
90,1285319,642.6595,healthy,132,3.936237945493681e-05,True,284.2152856671137,True,297.45508317254826,True,64.93617506979965,False,289.5130658148661,False,156.797711618173,False
91,1288437,644.2185,healthy,132,4.018099448718214e-05,True,284.75922956801895,True,293.62637362263786,True,11.51009426690986,False,319.1737007606081,False,1.9755309871993956,False
92,1293583,646.7915,healthy,132,4.0180994487754325e-05,True,301.95325500378635,True,312.5649380528538,True,9.52634455990765,False,310.72895633945916,False,1.6104375299594937,False
93,1297713,648.8565,healthy,132,4.0180994488321566e-05,True,269.3976772866224,True,261.223841675542,True,6.902216985927051,False,243.8832251472333,False,91.75949134008127,False
94,1301835,650.9175,healthy,132,3.621556634987964e-05,True,304.80846746538754,True,303.81203428923374,True,7.409048733897896,False,303.93965049241115,False,2.011819521954007,False
95,1304955,652.4775,healthy,132,3.723315109403115e-05,True,275.7012140976834,True,296.5765985272033,True,6.671945349509923,False,280.7927864528562,False,2.1272907380174533,False
96,1309087,654.5435,healthy,132,4.4774675196979506e-05,True,279.1186057494178,True,279.1940298125753,True,12.25933546208112,False,293.3564060842434,False,2.1159538875965587,False
97,1314286,657.143,healthy,132,3.6272471548230795e-05,True,290.43335548537164,True,289.7401976495988,True,5.86632868403197,False,299.12844072848594,False,1.1953951465085404,False
98,1318492,659.246,healthy,132,4.0180994488321566e-05,True,315.9994021513211,True,304.94027328193386,True,9.703814794973571,False,300.235438959475,False,4.605406141282748,False
99,1321644,660.822,healthy,132,3.627247154906406e-05,True,285.92803277764494,True,267.9719093449849,True,9.145218780085944,False,295.23332577750114,False,4.211170305843488,False
100,1324749,662.3745,healthy,132,4.41294520417574e-05,True,249.2883323091795,True,242.3557355369528,True,9.025290015224517,False,239.70583506716542,False,2.3637909398429136,False
101,1327925,663.9625,healthy,132,3.964757480075377e-05,True,254.97349285222526,True,247.93963983421418,True,8.270644886162685,False,257.5733523702234,False,3.2314799489593233,False
